"","dg_d_1","dg_d_2","dg_d_3","dg_v_1","dg_v_2","dg_v_3","ca3_d_1","ca3_d_2","ca3_d_3","ca3_v_1","ca3_v_2","ca3_v_3","ca1_d_1","ca1_d_2","ca1_d_3","ca1_v_1","ca1_v_2","ca1_v_3"
"Tcirg1",140,336,112,112,252,504,336,924,56,112,112,532,392,168,196,252,168,84
"Tcl1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tcl1b1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tcl1b2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tcl1b3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tcl1b4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tcl1b5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tcn2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tcof1",1204,1204,924,4788,1708,4760,5376,6020,3500,15764,11844,11200,16968,14364,12348,4620,2324,3136
"Tcp1",12824,23772,12600,56616,31136,37380,65632,67032,86968,88704,81452,104524,97748,94108,81676,30744,20412,34244
"Tcp1-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tcp10b",0,0,0,0,0,0,0,0,0,196,0,336,28,56,56,0,0,0
"Tcp11",952,56,0,4032,700,2828,28,0,0,0,728,28,0,0,0,0,56,28
"Tcp11l1",3276,2828,7364,17108,14252,17808,27244,31640,37912,65296,51520,50596,32620,41804,18760,6832,5320,7812
"Tcp11l2",8848,2492,9128,8680,8288,7644,4312,5068,6888,16212,6692,13552,5124,5320,7504,3612,2380,3472
"Tcrg-C",84,0,336,0,112,0,56,28,112,0,28,308,196,0,84,28,84,28
"Tcrg-V3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tcrg-V4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tcrg-V5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tcrg-V6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tcrg-V7",0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
"Tcta",224,980,2688,2968,2856,2296,6440,2856,8428,8848,6972,13132,5180,8736,2128,2632,1316,1764
"Tcte1",2408,1792,952,6888,4256,2632,14700,15344,11368,15848,17276,18032,14924,13524,8960,1540,1316,3808
"Tcte2",112,476,532,840,560,980,2436,1960,2296,2296,2240,7728,2016,2492,1064,812,784,532
"Tcte3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tctex1d1",0,5040,56,0,0,0,0,0,56,0,0,56,0,0,0,0,0,0
"Tctex1d2",5740,1736,1652,6160,5992,7140,5236,7812,4312,8232,7000,8036,9436,11424,6524,2352,1708,4032
"Tctex1d4",0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0
"Tctn1",6300,4032,1904,1092,1400,1876,1904,1680,1540,2380,1372,1764,3780,2212,2772,700,168,168
"Tctn2",728,4032,2604,7980,13776,7812,2044,840,2576,8204,6216,4480,6468,5712,3164,1400,2464,2912
"Tctn3",420,756,4844,11452,6160,8848,5684,3416,5628,10276,9156,10108,9716,6356,5096,4200,2408,2016
"Tdg",4088,4032,12012,10920,9604,14476,6076,6132,11648,10388,11004,16156,29932,36652,23856,4816,4564,5040
"Tdgf1",0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
"Tdgf1-ps2",0,0,0,0,112,476,112,84,0,140,0,0,420,112,0,0,0,0
"Tdh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tdh.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tdo2",5936,4900,3668,8624,15848,20412,1680,2352,980,1288,1036,1176,980,112,504,140,28,112
"Tdp1",252,2296,2072,4592,5320,4816,2744,4508,5628,4144,4676,3640,5012,6272,5152,1148,1288,2548
"Tdp2",1372,2604,1568,5152,2940,4452,4928,5964,6608,5908,7084,8456,7924,8064,4816,784,1232,1680
"Tdpoz1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tdpoz2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tdpoz3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tdpoz4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tdpoz5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tdrd1",0,1736,0,308,196,392,532,980,1484,2268,2184,5096,1820,1736,56,0,504,476
"Tdrd12",84,1344,28,588,616,364,532,28,644,280,0,0,0,0,0,84,56,28
"Tdrd3",2156,9100,2548,9660,7924,9912,9492,9324,6552,12152,12964,22232,20216,16660,9324,6608,2800,4564
"Tdrd5",4956,308,1288,5292,1092,1876,2156,4564,1092,1316,4396,10332,448,616,224,84,168,364
"Tdrd6",0,0,0,784,1120,1148,0,336,28,0,224,0,0,0,0,0,0,224
"Tdrd7",3276,4760,3416,7140,11340,8232,7840,9744,6832,9828,12348,14336,15708,23828,19572,3472,3808,5404
"Tdrd9",0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tdrkh",9464,2800,10780,18732,9324,16324,33600,36092,31388,40880,40460,70560,32172,39872,26376,20216,10024,13916
"Tead1",728,4172,5880,17304,23772,28112,13748,18984,18676,92036,95844,57988,7784,8316,11032,5180,4564,7672
"Tead2",0,0,0,0,0,0,28,0,0,0,280,1120,0,0,0,0,0,0
"Tead3",308,0,56,0,0,0,0,0,0,56,0,0,504,0,0,0,0,0
"Tead4",0,0,56,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0
"Tec",0,0,0,0,0,0,0,0,0,0,28,784,308,0,168,0,0,0
"Tecpr1",9072,6916,3080,10024,3724,4116,25676,23856,16044,15372,21140,21364,33712,43652,27972,5600,5152,5796
"Tecpr2",18144,11620,12236,23884,16128,24752,36736,45164,30940,46648,44016,53480,50232,57344,33404,14952,8960,15624
"Tecr",102844,87584,87976,230468,180880,204148,377832,283276,317268,310968,355460,429016,349580,494900,324660,141988,85596,135464
"Tecrl",0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0
"Tecta",252,0,0,168,0,0,140,0,56,0,420,336,0,0,0,0,28,0
"Tectb",0,0,0,952,0,0,56,0,28,28,28,56,0,28,0,0,0,224
"Teddm1",0,0,0,0,0,0,0,0,0,84,364,0,224,0,0,336,0,0
"Tef",28224,41524,20972,74788,56112,61712,27832,41748,46340,50680,49896,53452,40684,53088,45976,20552,12712,20440
"Tek",28,1316,1904,112,140,1120,196,56,168,56,252,56,28,0,420,0,0,196
"Tekt1",0,0,0,140,756,532,56,0,0,84,644,168,252,0,392,168,0,168
"Tekt2",3304,0,0,168,140,0,0,0,28,56,56,112,84,0,1512,112,0,0
"Tekt3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tekt4",0,0,0,0,0,0,0,0,336,0,56,0,0,0,0,0,0,0
"Tekt5",2184,280,0,1680,1708,3500,28,84,28,28,0,84,56,0,0,0,28,112
"Telo2",3920,448,140,7084,5124,4340,980,1260,476,3192,2912,4424,2324,3472,1624,1400,924,1036
"Telomerase-vert",0,0,84,28,0,84,56,0,0,0,0,56,0,0,0,0,0,0
"Tenc1",28,0,448,56,196,84,448,196,84,420,1344,28,168,0,196,140,0,0
"Tep1",0,0,0,56,28,56,2968,2856,2240,476,504,1820,84,2352,1540,84,0,0
"Tepp",728,448,112,532,280,840,196,784,476,1456,952,532,1540,2212,1484,616,28,476
"Terf1",980,1288,2632,4480,4788,7924,2912,2408,4284,4144,3836,7112,3556,7196,3192,560,1120,2100
"Terf2",5544,7252,5376,15708,14028,15008,19096,26292,23968,23912,17584,20608,23520,36176,20412,5796,3584,8624
"Terf2ip",9324,5208,5880,21028,16268,28616,28812,42812,41104,32284,40964,49168,50008,69272,49812,13104,9548,14028
"Tert",0,0,0,1260,308,0,868,168,504,140,28,588,0,0,28,84,140,224
"Tes",0,0,0,112,924,280,140,0,0,0,0,0,0,0,0,0,28,56
"Tes3-ps",0,0,196,56,392,1484,56,56,0,0,168,56,56,56,140,812,336,56
"Tesc",2660,1932,4732,1988,2744,3388,4900,6972,8316,16128,13888,13412,13076,12852,17864,3192,2576,3388
"Tesk1",5964,5264,336,4984,4228,2072,5740,4004,5376,9688,8176,9240,8456,12544,11536,5880,1092,2996
"Tesk2",28,84,1988,644,140,560,672,196,0,532,3108,1120,476,2548,112,0,28,56
"Tet1",18060,5152,12460,22120,15176,34664,15372,30604,26880,16296,19544,25816,40516,45332,28448,9716,8288,7168
"Tet2",9800,23828,29708,57400,35896,42896,27748,23576,35560,25312,27776,42728,64820,48020,48608,16212,13300,13384
"Tet3",27020,37996,27216,43456,29288,36372,33936,41804,42504,44884,39816,48524,80640,113260,85176,23604,13272,16128
"Tex10",6244,6804,6720,10864,15820,11256,10920,14532,12236,17976,18760,12460,22652,16660,15036,4312,2828,4564
"Tex101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tex11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tex12",0,0,0,448,980,56,28,56,0,112,0,196,0,0,56,0,0,0
"Tex13",0,56,0,112,28,0,0,56,0,0,0,0,0,0,28,0,0,0
"Tex13a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tex14",0,1064,0,28,28,196,280,84,420,252,1400,952,0,84,168,0,56,0
"Tex15",280,532,924,3248,8764,9072,1036,2660,784,6860,7336,3528,0,952,140,532,140,84
"Tex16",0,0,0,0,0,0,0,0,0,0,1596,0,0,0,0,140,28,112
"Tex19.1",0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tex19.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tex2",34664,42280,21784,62972,60620,63924,103012,135100,109732,115248,113372,159684,156828,182112,131208,38444,25088,42560
"Tex21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tex22",0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tex24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tex261",2660,2016,4452,7364,6496,5768,8260,10304,6944,11116,13272,14812,14756,11340,12236,4480,1820,5264
"Tex264",2716,2772,6860,8484,4340,8596,11340,8792,9520,16996,15036,18984,12208,20972,8064,7924,3612,6356
"Tex28",0,0,0,56,56,28,0,0,0,0,0,0,0,0,0,0,0,0
"Tex9",168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tfam",5544,1400,4844,14532,8120,10388,9408,12348,14028,20384,21896,16856,16296,18144,12152,4508,3668,4340
"Tfap2a",0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tfap2b",0,0,0,0,56,28,112,0,0,0,0,0,0,0,0,0,0,0
"Tfap2c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
"Tfap2d",0,0,0,1288,1064,1036,1288,0,0,0,0,0,0,0,0,0,0,84
"Tfap2e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0
"Tfap4",28,0,448,252,420,588,56,476,0,56,448,756,364,28,28,0,0,196
"Tfb1m",308,0,0,1064,3192,2408,3808,2464,1904,3528,2380,1204,1680,3584,812,168,532,644
"Tfb2m",3108,4536,8904,10332,7280,8260,9884,13776,15652,13132,14728,21000,15372,16996,15848,6860,4284,5908
"Tfcp2",1372,1372,2380,7140,5292,4620,7756,4480,5208,9156,9632,5376,5460,7056,3584,1400,2100,2296
"Tfcp2l1",1148,560,0,0,28,28,784,84,0,224,0,0,0,364,0,0,84,1036
"Tfdp1",17304,12544,6860,19936,42252,40656,26768,36932,21616,32676,33992,30856,42952,41748,41692,13608,5908,11676
"Tfdp2",6272,9856,10192,8456,11256,15708,21784,26404,23940,32788,23772,22652,86352,84168,76944,7560,6104,9324
"Tfe3",13048,1652,3388,10192,4452,10108,6076,9940,8260,11424,12936,11088,10472,23492,17948,4928,1652,4564
"Tfeb",56,0,0,0,336,0,168,0,0,84,448,252,1036,588,84,112,0,140
"Tfec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tff1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tff2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tff3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tfg",26040,10276,23184,32032,26488,38892,54992,57988,60592,63644,66920,69776,63980,78120,69440,15932,11060,14280
"Tfip11",1036,1036,6188,8596,4956,5740,8680,8708,8288,7476,12600,9996,16520,16884,11396,4592,3220,5376
"Tfpi",0,0,0,56,1092,2352,588,168,532,448,448,56,392,4256,5208,0,224,336
"Tfpi2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tfpt",12292,2492,6300,5460,1260,2576,3024,6552,3080,4788,5432,4396,6356,9828,6720,5040,1820,2212
"Tfrc",14644,15792,7784,54432,48356,45892,100744,118552,127456,112924,116480,122500,124628,121352,75656,27076,18452,25424
"Tg",0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tgds",28,8064,28,2240,1988,2240,1456,756,476,1568,2464,2296,1820,2352,3332,1624,784,560
"Tgfa",20636,8512,15680,26488,32032,30128,11004,12432,12180,16744,12012,26096,112,140,56,0,532,112
"Tgfb1",0,0,364,0,0,112,0,0,0,0,0,112,0,0,0,0,0,0
"Tgfb1i1",0,0,0,2940,392,644,1736,2996,1316,3444,4928,5264,5404,2716,3752,364,336,2940
"Tgfb2",31696,25116,21644,17976,32536,40852,159404,159208,136136,53704,61768,49392,5936,20384,12488,32340,11788,21952
"Tgfb3",252,2800,4788,2548,308,896,1988,756,1848,1736,1400,5824,28,140,168,224,28,420
"Tgfbi",0,0,0,0,0,0,0,28,0,0,28,0,0,0,0,28,28,28
"Tgfbr1",840,448,2408,13244,16912,34832,112,112,0,252,56,0,2352,784,3164,224,1428,672
"Tgfbr2",0,224,56,336,1176,1400,644,0,700,84,532,5712,56,0,28,0,0,0
"Tgfbr3",868,2744,1512,9940,6160,17192,17976,16856,21140,32060,30072,31640,24024,18060,11760,10640,1708,5264
"Tgfbrap1",6412,7616,20888,23436,26544,24724,20076,20776,17892,25732,23800,32788,33124,24388,36764,8232,6104,8428
"Tgif1",0,0,0,0,0,0,0,0,0,1148,112,0,0,0,0,0,0,0
"Tgif2",84,112,0,560,280,504,196,504,112,252,84,420,224,112,168,112,0,28
"Tgif2lx1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tgif2lx2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tgm1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,28
"Tgm2",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tgm3",0,0,0,504,0,0,224,28,56,308,336,2016,140,1036,0,3248,140,56
"Tgm4",84,112,112,28,0,644,56,0,56,280,336,336,0,112,0,0,0,28
"Tgm5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tgm6",0,0,0,112,0,0,112,84,0,0,0,56,0,0,0,56,0,0
"Tgm7",0,0,1932,56,56,0,56,0,0,140,0,0,0,0,0,0,28,0
"Tgoln1",23212,19152,9772,46760,43624,52388,114100,133560,118328,120624,127428,142324,105364,136752,114660,33320,24696,35616
"Tgs1",29260,11704,9212,44520,48832,44324,51212,48552,49896,66500,66136,86772,70560,102060,52304,19992,16380,28924
"Tgtp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tgtp2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Th",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"Th1l",1596,3752,1904,5824,3892,8988,6440,8120,10164,14224,17248,19040,14448,13300,5684,3108,3780,3836
"Tha1",0,0,0,224,476,224,308,0,168,616,504,1232,28,392,168,28,56,308
"Thada",8764,7224,4144,17780,17528,15372,10724,11704,7028,10444,22260,21000,18172,20132,12628,3192,2212,4620
"Thap1",1932,3976,1148,672,672,616,1372,2100,1064,1232,1680,644,1232,2548,3136,224,140,448
"Thap11",3472,3640,2352,3164,5320,2940,3164,5656,5684,8232,6328,5936,11536,11984,4760,728,1148,1428
"Thap2",2352,6972,1736,9212,12852,10444,6916,10556,8456,10724,8652,11620,11172,7252,3668,2968,1764,3920
"Thap3",2240,140,140,1484,3192,2884,1400,1036,1120,1120,1036,2940,2380,7896,2856,196,784,1848
"Thap4",2408,868,672,2464,3192,2072,6468,4620,2968,3304,5124,6832,6524,10640,3276,4088,504,2240
"Thap6",0,28,28,1596,308,1064,952,924,1064,2156,1428,3444,672,1568,2268,1624,56,252
"Thap7",504,3108,6020,4228,3248,2744,1876,1960,644,4536,4984,6524,4284,4704,5516,1372,476,1652
"Thap8",0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thbd",168,14392,56,4172,7952,7672,2744,4200,5152,16772,7448,10668,40684,45220,27356,9996,3024,3752
"Thbs1",0,0,0,0,0,0,420,924,28,0,0,0,728,56,1344,196,84,112
"Thbs2",0,0,0,1288,56,84,448,168,1008,868,7448,48636,112,84,252,0,140,252
"Thbs3",1596,728,1316,17892,11200,17976,868,1036,1120,1960,3920,2968,4424,3668,2212,4312,1960,1708
"Thbs4",0,0,0,56,56,0,392,392,0,448,112,420,0,168,0,0,196,0
"Theg",1120,0,0,0,0,0,1008,616,1820,364,308,4592,0,28,28,0,0,0
"Them4",1848,7700,700,11872,15288,14504,13468,15540,9604,16688,14224,19908,16212,20104,16716,7308,7364,6832
"Them5",0,56,672,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0
"Themis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thg1l",28,28,1400,5404,2800,1204,4928,6496,2464,7700,6272,11312,10752,11956,6020,2072,1736,756
"Thnsl1",868,6160,4704,8456,9856,8372,12040,17388,8148,18760,22820,21560,15708,28224,16996,5348,4228,7364
"Thnsl2",0,336,0,168,28,28,252,784,672,728,672,588,112,84,112,28,0,840
"Thoc1",5880,6468,4620,29820,25508,28168,32676,42448,49532,46620,50540,66724,43792,53956,37940,19544,7532,12180
"Thoc2",33768,22624,24024,91532,63672,93884,45080,59612,53872,78904,78652,84112,83804,91672,79240,30772,17388,22680
"Thoc3",2716,1932,2772,6440,9632,3948,11872,9576,12348,19096,16856,14056,15428,19628,17948,2940,2800,3640
"Thoc5",644,7420,3024,9968,8036,6300,9492,10164,7448,12432,16212,13552,15204,18172,13384,4760,3024,5824
"Thoc6",448,56,1148,168,1652,224,980,1400,672,1344,1820,1148,1204,1568,1204,0,112,112
"Thoc7",6020,7336,2940,13664,13972,14448,11452,14896,22148,14336,18396,20132,18340,29232,15596,5824,4732,5796
"Thop1",15456,4956,6216,3668,1540,4200,7364,3668,7420,7868,8736,9660,5488,7112,9912,3528,1484,3024
"Thpo",1960,336,3192,4368,3724,7308,1036,560,504,1092,1652,2240,2856,5628,10220,2716,672,1820
"Thra",38360,25116,51632,133588,81228,91308,143612,166040,174328,218652,254800,228788,154504,207088,138656,71736,48944,80640
"Thrap3",9324,27888,19432,44940,35784,39480,43792,48524,36484,55608,64876,65352,64092,83076,64232,20496,17024,24164
"Thrb",3976,2632,4340,26376,18620,25312,14644,13216,10864,49168,46396,74620,65548,82236,63532,11200,12572,15092
"Thrsp",1260,308,308,5572,8316,2940,1372,1204,2688,33152,30968,16940,168,168,112,532,112,448
"Thsd1",0,476,0,28,56,448,28,0,0,308,0,28,0,0,0,0,0,0
"Thsd4",1624,1512,4452,840,1428,616,100884,76496,108752,179536,190260,173180,102592,105280,116760,29680,25704,29764
"Thsd7a",37184,43092,29008,128464,109816,148204,25116,31864,33208,152040,145180,63840,43820,38556,33432,1764,3276,1596
"Thsd7b",140,0,1204,20104,10948,7280,12320,14168,12712,24276,25928,18592,10836,12992,10136,9520,4424,6076
"Thtpa",196,1176,1904,3276,1792,7980,4116,6692,2632,3528,3752,6748,4368,6776,8036,1848,1344,1316
"Thumpd1",10640,6384,8428,16912,22596,12544,15932,25984,24444,38780,33068,53452,34496,53424,35868,12796,6356,15064
"Thumpd2",420,1512,532,728,2632,2408,224,392,532,868,896,1092,336,924,196,1652,336,420
"Thumpd3",1456,3444,1764,22708,12964,20104,12152,11816,22652,15064,18088,18872,14420,23912,16604,7504,3668,7784
"Thy1",103404,83636,67844,189420,155008,173040,437052,436800,348432,495264,554904,553504,602588,761572,578060,152656,109200,195160
"Thyn1",4592,4788,7168,8176,3612,3080,9660,9604,6860,20636,18368,18396,13888,17360,16268,3360,4284,2912
"Tia1",20188,38528,52416,161560,103712,156296,65856,68796,53312,86408,83384,82152,105420,101276,129192,33852,14952,19992
"Tial1",19628,18620,13748,61292,59360,55104,37884,51772,61712,44688,43316,64820,64596,64652,71764,17976,9128,18004
"Tiam1",91868,67172,54768,144648,102228,135828,6132,3388,1512,83776,80052,12712,13916,13216,7224,13412,6916,13692
"Tiam2",23660,7112,7476,16128,16576,15764,392,1232,2604,2688,2492,4480,4732,3360,1568,1512,2212,5488
"Ticam1",0,1344,0,140,1176,868,728,1176,728,1876,2072,756,1792,1344,2492,1204,308,728
"Ticam2",0,0,0,28,28,56,1036,840,1456,56,56,616,0,56,28,28,28,28
"Tie1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tifa",0,0,168,56,112,28,980,2184,168,1092,280,364,0,84,0,112,84,0
"Tifab",0,0,0,28,0,56,0,0,0,0,0,0,0,0,0,0,0,0
"Tigd2",1512,8456,896,6328,6552,3472,5348,9044,10276,14504,17864,12348,12320,8232,8876,3192,2828,3752
"Tigd3",0,952,0,56,84,140,28,84,0,28,420,56,308,84,0,0,28,0
"Tigd4",0,0,0,84,0,0,0,0,0,0,0,168,0,0,0,0,0,0
"Tigd5",896,12628,28,560,0,1176,476,84,1036,3388,1036,672,784,476,84,56,140,168
"Tigit",0,336,0,56,168,28,0,28,0,140,0,0,140,0,0,0,0,0
"Timd2",0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0
"Timd4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Timeless",0,2156,0,196,112,1260,0,560,112,420,728,392,1484,28,0,140,84,588
"Timm10",6076,1540,1064,3136,1708,5768,5516,3668,7644,11060,12264,19824,7532,11424,4676,5068,2576,4060
"Timm13",4620,2436,3724,4564,2016,2436,5880,5964,4088,11788,7924,12684,14756,13076,10080,3696,1484,3276
"Timm17a",13888,6160,7812,26320,24192,27356,42028,41860,39816,46060,55664,53872,50596,76748,37128,13608,11088,21924
"Timm17b",0,2016,364,3360,1540,2100,2800,1680,1960,2996,5824,4396,5320,4200,2352,1372,1512,1372
"Timm22",168,1708,392,3164,4480,4452,2884,3780,5684,5152,3108,7840,8904,3136,2996,1932,1988,1764
"Timm23",8484,10780,8484,20104,13076,17388,31864,27552,28364,36008,39788,43792,44520,63420,41188,11340,6580,10920
"Timm44",5432,2352,7476,25844,12964,11424,9324,5320,6188,14112,16828,17976,19180,20552,22708,5320,3080,4536
"Timm50",224,784,2128,2464,1988,3892,3388,2800,2436,2940,3500,4312,7560,6216,3164,644,1400,840
"Timm8a1",1260,476,84,5012,4368,3808,9716,16604,21672,20664,21168,22232,23352,22176,12796,2324,1736,4508
"Timm8a2",0,1372,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0
"Timm8b",17976,8568,3864,12656,9688,8652,18312,21868,19768,21196,24668,30016,31640,31080,18816,7532,5880,8960
"Timm9",1904,13748,5208,9744,8624,6580,8008,8624,8456,11816,13692,11676,12572,15736,12740,3724,2660,4144
"Timp1",0,0,0,168,0,112,56,0,0,28,0,0,308,2240,0,308,0,0
"Timp2",6412,8092,4172,197680,177380,222404,51044,62804,44296,567364,559356,467068,23436,13748,9156,124992,99148,175000
"Timp3",4984,336,476,2128,2800,1652,252,56,392,392,168,224,476,1988,3332,420,112,280
"Timp4",784,0,28,6440,4648,8204,1204,3192,2128,3920,2100,3612,1204,1204,1456,1316,224,1148
"Tinag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,0,0,0
"Tinagl1",0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0
"Tinf2",2856,5040,9856,2296,840,2128,2016,1372,868,1708,1848,3444,2772,4424,2072,112,1232,868
"Tiparp",8540,5712,5292,9156,14140,10864,7308,5684,6580,12712,15372,18396,15176,19656,19684,812,1736,1456
"Tipin",336,280,2240,3612,5376,3948,2352,2772,2324,5292,2940,3864,4228,6048,4872,1120,756,1764
"Tiprl",9072,8652,9072,31864,23688,33208,41020,41384,39872,50372,60284,78316,69132,83020,49420,41916,15120,23352
"Tirap",280,0,0,1288,0,1792,28,0,0,0,0,616,0,308,0,0,0,0
"Tjap1",896,3640,280,1904,1764,2772,2968,1064,1792,1960,924,1372,3500,1596,868,196,308,224
"Tjp1",22232,34216,19684,82208,65912,72912,60368,69048,56980,76804,68880,100688,87864,84616,80304,26712,12404,24976
"Tjp2",532,1036,0,1372,1064,1316,532,504,0,308,1064,224,448,168,112,0,84,112
"Tjp3",0,0,0,0,0,0,112,28,0,252,980,252,0,0,84,28,0,0
"Tk1",0,0,0,308,2576,2128,28,0,0,28,476,84,0,0,0,28,28,56
"Tk2",112,28,112,1428,1568,2128,5348,4032,7140,8008,5656,10696,8316,10752,6636,3108,840,3164
"Tkt",2408,2100,588,3780,2800,3108,14420,17864,13356,17444,17052,29680,12628,12796,9688,4172,2940,5740
"Tktl1",0,0,0,0,0,28,84,0,0,112,28,56,756,756,0,0,0,504
"Tktl2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tlcd1",0,0,0,1092,364,672,28,0,0,56,0,56,280,140,0,0,56,28
"Tlcd2",28,56,252,392,196,392,168,308,1120,504,280,140,308,392,168,28,0,28
"Tle1",21896,23940,27216,24360,27300,32760,9576,17136,14840,8680,6132,13384,53228,67928,40012,5124,5908,2548
"Tle2",0,308,1988,532,2436,336,924,504,252,3836,3752,588,1792,1176,812,1176,252,280
"Tle3",140,0,28,1904,1820,1456,10108,5852,7952,5768,4844,1876,34356,45584,32116,7000,7840,14728
"Tle4",24332,11060,20272,31752,32676,35112,42504,68040,67732,75936,61180,118776,36540,37520,22064,7896,6748,7112
"Tle6",0,0,0,28,0,196,0,476,0,560,448,168,28,196,3024,0,0,0
"Tlk1",21392,12068,18592,62748,44436,49896,65352,89964,68656,89628,88760,80836,176204,184128,147476,35420,24976,41356
"Tlk2",20496,18340,17836,34132,32340,34580,36624,54852,44436,51884,48440,63448,57904,51520,45892,21756,14952,17360
"Tll1",700,364,4172,728,2016,1484,784,112,420,1176,476,196,0,0,0,28,28,56
"Tll2",0,0,0,868,112,28,0,0,0,0,0,168,0,0,84,0,0,0
"Tln1",11928,3276,3304,5292,8036,3528,3836,6328,4172,3780,4368,5572,5320,5936,4228,1428,1456,1792
"Tln2",16912,14812,8036,58408,37072,54068,109200,118748,114744,133728,129668,189056,92092,146832,85512,35168,20496,41440
"Tlr1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tlr11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tlr12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tlr13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
