"","143B-CA1-1","143B-DG-1","144B-CA1-1","144B-CA3-1","145B-CA1-1","145B-DG-1","146B-CA1-2","146B-CA3-2","146B-DG-2","147-CA1-4","147-CA3-4","147-DG-4","148-CA1-2","148-CA3-2","148-DG-2","148B-CA1-4","148B-CA3-4","148B-DG-4"
"Mrpl57",23,96,22,19,41,29,14,53,1,0,28,1,27,55,31,1,50,15
"Mrpl9",43,79,90,24,26,68,33,84,3,4,62,32,27,52,108,4,96,6
"Mrps10",31,36,36,39,30,14,1,42,2,27,10,0,1,19,32,4,42,17
"Mrps11",20,47,44,13,18,43,13,25,0,9,2,1,41,24,45,8,49,18
"Mrps12",35,48,75,33,62,37,29,67,1,19,64,0,61,73,81,11,100,9
"Mrps14",79,60,82,17,50,38,21,76,0,0,40,8,49,64,66,0,108,17
"Mrps15",34,40,32,12,76,33,15,46,4,15,23,0,18,61,54,5,61,7
"Mrps16",28,22,27,28,19,1,13,20,0,3,1,1,4,34,1,0,37,22
"Mrps17",51,147,83,43,78,100,38,83,5,6,28,12,59,93,128,12,117,68
"Mrps18a",75,55,80,12,59,21,36,60,0,8,16,0,42,53,93,0,99,8
"Mrps18b",15,21,36,33,41,24,3,19,0,13,14,0,28,18,77,1,56,15
"Mrps18c",27,65,49,18,40,3,10,32,1,8,54,0,4,25,70,20,40,27
"Mrps2",45,30,49,19,29,19,16,74,1,16,0,15,37,56,24,13,87,27
"Mrps21",25,64,71,10,44,21,1,48,2,0,54,0,11,31,57,11,79,11
"Mrps22",24,23,13,22,37,17,22,38,0,0,24,0,8,44,18,0,93,10
"Mrps23",41,67,50,23,23,51,13,53,3,15,1,0,34,84,41,12,87,29
"Mrps24",35,56,44,42,57,20,4,30,1,8,30,0,10,45,33,0,57,22
"Mrps25",69,152,132,89,48,32,77,219,2,18,160,32,55,182,94,0,210,52
"Mrps26",67,204,127,50,116,98,31,88,5,25,21,5,39,148,93,2,149,86
"Mrps27",40,22,61,33,52,40,11,44,0,0,0,1,20,40,86,12,88,8
"Mrps28",27,23,10,2,6,2,1,13,0,0,0,0,0,7,8,0,22,1
"Mrps30",40,41,28,16,65,28,27,25,0,3,0,0,16,21,24,6,42,8
"Mrps31",5,46,41,2,21,17,4,20,0,0,56,0,23,60,25,2,59,21
"Mrps33",105,59,136,59,36,43,25,110,2,12,51,2,77,162,43,0,184,14
"Mrps34",75,103,121,17,89,30,13,54,2,0,43,1,20,50,111,0,122,39
"Mrps35",22,22,23,3,7,11,18,32,8,2,0,0,31,11,16,2,38,6
"Mrps36",31,40,37,15,12,13,8,21,0,0,4,0,5,17,46,0,44,8
"Mrps5",31,109,90,18,40,47,15,65,0,0,57,1,81,106,163,17,99,25
"Mrps6",36,11,46,34,35,17,2,67,0,12,35,0,0,47,5,0,73,24
"Mrps7",48,78,92,17,22,86,15,105,2,0,5,33,66,123,93,0,91,31
"Mrps9",68,76,139,34,40,35,45,33,2,21,21,0,75,92,100,18,81,29
"Mrrf",12,47,50,20,33,16,5,12,6,0,28,0,1,54,97,6,47,17
"Mrs2",70,46,68,4,82,80,47,35,1,0,12,0,97,32,19,12,51,13
"Mrto4",28,59,32,7,46,2,15,17,6,12,0,0,47,31,46,8,55,13
"Mrvi1",7,0,9,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0
"Ms4a1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ms4a10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ms4a12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ms4a13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ms4a14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Ms4a15",5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Ms4a18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ms4a2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Ms4a3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ms4a4a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ms4a4b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ms4a4c",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Ms4a4d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ms4a5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ms4a6b",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ms4a6c",0,4,7,0,3,6,3,4,0,0,0,0,21,2,0,0,9,1
"Ms4a6d",0,4,0,0,0,12,2,4,0,0,0,0,0,6,0,0,5,0
"Ms4a7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ms4a8a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Msantd1",2,22,6,2,0,15,6,13,0,0,0,1,13,4,5,0,7,8
"Msantd2",51,48,48,12,22,73,24,15,0,0,15,6,29,31,56,0,62,5
"Msantd3",8,32,20,16,5,10,6,19,1,0,7,0,0,14,24,0,31,0
"Msantd4",99,55,129,70,8,22,19,97,7,18,37,2,68,115,88,25,126,19
"Msc",0,2,0,0,0,0,8,0,0,0,23,0,19,0,0,0,2,0
"Msgn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Msh2",45,68,71,33,31,43,62,39,0,31,6,0,45,70,50,1,91,8
"Msh3",31,61,86,9,14,34,19,56,7,0,20,0,7,90,8,4,89,27
"Msh4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Msh5",5,2,0,0,0,3,2,1,0,0,0,0,0,2,0,0,3,0
"Msh6",17,27,43,9,14,24,27,19,2,1,0,0,26,33,67,1,56,14
"Msi1",32,76,70,28,39,30,21,21,0,18,6,25,20,53,29,5,52,14
"Msi2",96,101,134,50,40,65,34,104,4,2,23,2,119,59,70,8,134,34
"Msl1",415,440,588,218,435,370,174,412,25,8,98,45,314,422,585,48,575,148
"Msl2",104,152,153,36,92,151,46,109,11,24,9,11,88,104,164,3,127,60
"Msl3",22,43,29,14,39,31,3,12,2,0,1,0,0,22,63,0,43,11
"Msl3l2",15,22,39,15,37,0,26,28,0,4,0,0,8,13,24,3,29,27
"Msln",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mslnl",0,13,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1
"Msmb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Msmo1",75,66,91,94,164,51,20,151,0,5,64,2,30,143,28,10,375,30
"Msmp",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Msn",32,29,50,19,54,27,25,23,1,0,0,0,38,3,31,6,38,14
"Msr1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Msra",153,72,174,47,207,41,34,139,3,5,60,0,49,191,54,6,175,40
"Msrb1",48,36,39,9,60,36,19,42,20,0,10,21,15,51,6,4,37,4
"Msrb2",62,18,95,26,38,18,26,70,0,1,0,0,54,103,33,0,89,21
"Msrb3",9,3,17,0,1,0,1,9,0,0,0,0,10,6,4,0,13,5
"Mss51",0,0,7,0,0,3,0,0,0,0,0,0,0,4,0,0,2,0
"Mst1",0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Mst1r",4,2,20,0,13,0,2,4,0,0,0,0,47,12,27,0,7,1
"Mstn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Msto1",16,60,11,12,0,16,24,31,0,0,16,0,10,40,28,8,57,8
"Msx1",0,2,0,3,10,4,1,0,1,0,0,0,0,0,0,0,3,3
"Msx2",0,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
"Msx3",0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1
"mt-Atp6",11810,9254,14082,4901,15897,5549,2660,8542,276,479,2530,330,9300,8816,6106,2222,15778,4237
"mt-Atp8",726,539,833,248,996,279,192,549,14,18,171,14,422,485,415,145,937,240
"mt-Co1",30026,21691,35177,12714,39155,15903,7314,23297,723,1094,5776,647,24841,23437,15414,5407,37680,10089
"mt-Co2",11028,8638,12859,4295,13273,4767,2200,8393,257,434,2725,255,8099,8095,5601,1948,15976,4223
"mt-Co3",9819,8120,11821,4602,12283,4943,2230,8074,217,396,2388,343,7435,8146,5694,2006,16011,3773
"mt-Cytb",10493,8821,12738,4876,14347,5870,2757,9350,284,288,2244,359,8463,9704,5767,1987,15702,3959
"mt-Nd1",9221,6883,10425,4164,11509,3521,2285,7627,227,313,2021,273,6535,7824,3902,1660,14126,3182
"mt-Nd2",6950,4422,7928,3220,10184,2797,1872,5271,141,267,1286,243,5433,5717,2962,1277,8777,2171
"mt-Nd3",1091,778,1236,389,1008,336,215,696,12,27,270,61,602,662,403,212,1668,367
"mt-Nd4",11016,8133,13591,5276,17211,5595,3079,9841,300,374,2255,361,9562,10230,5819,2222,15777,3734
"mt-Nd4l",1117,911,1396,668,2000,663,372,1151,26,62,359,5,1188,1182,723,245,1637,474
"mt-Nd5",4248,3356,5445,2074,5999,2427,1562,4252,116,135,846,190,3581,4263,2490,721,5389,1454
"mt-Nd6",1121,892,1480,653,1815,688,415,1369,28,48,295,31,1193,1215,679,202,1817,436
"Mt1",178,302,197,79,192,111,35,206,23,2,49,1,101,129,129,23,352,97
"Mt2",92,132,88,50,93,83,12,127,1,15,21,0,41,71,56,4,151,39
"Mt3",506,562,568,249,405,210,123,423,20,51,261,24,230,383,447,51,900,250
"Mt4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mta1",193,179,271,80,134,171,42,180,2,8,31,2,135,162,184,4,302,85
"Mta2",100,217,175,69,137,167,34,106,2,4,11,1,130,88,220,0,133,69
"Mta3",82,93,185,67,97,68,70,82,1,0,8,0,71,107,173,8,183,49
"Mtap",11,30,12,3,14,3,5,3,0,7,1,0,0,27,19,0,24,3
"Mtap7d3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mtbp",0,3,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1
"Mtch1",1040,873,1366,536,1043,526,420,1071,19,21,558,41,732,1244,954,84,1883,400
"Mtch2",99,181,173,72,128,153,46,175,11,0,92,0,138,134,243,16,312,78
"Mtcl1",95,125,212,11,137,126,101,42,0,0,8,8,54,65,106,3,80,54
"Mtcp1",0,7,3,0,17,12,14,13,0,0,0,0,0,9,5,0,4,0
"Mtdh",122,210,192,27,101,115,153,80,17,11,25,1,181,85,252,21,176,48
"Mterf1a",4,7,16,5,3,15,0,2,0,0,0,0,0,2,14,0,10,1
"Mterf1b",4,16,0,0,0,6,0,3,0,0,0,0,9,7,12,0,2,1
"Mterf2",6,24,27,33,30,9,8,4,0,4,1,0,0,24,9,9,32,0
"Mterf3",18,24,22,32,12,53,16,26,1,0,0,0,12,51,50,0,34,19
"Mterf4",18,33,42,8,10,17,5,8,0,0,0,19,18,30,21,0,44,9
"Mtf1",52,83,63,20,94,83,61,72,1,19,14,0,104,131,83,17,124,11
"Mtf2",63,157,81,20,102,122,32,44,11,4,0,0,85,42,131,22,103,25
"Mtfmt",26,29,57,4,25,11,21,51,0,0,42,0,11,26,55,0,48,8
"Mtfp1",83,102,141,75,64,35,39,155,10,3,60,1,96,191,135,0,216,53
"Mtfr1",1,16,0,6,0,33,1,22,0,0,0,0,10,19,8,4,12,4
"Mtfr1l",139,172,85,29,97,100,48,97,3,14,0,2,30,108,128,18,98,43
"Mtfr2",0,13,0,6,0,2,0,0,0,0,0,0,2,0,0,0,0,0
"Mtg1",21,61,45,2,49,38,10,27,1,1,25,0,7,72,32,6,38,30
"Mtg2",8,47,33,9,34,3,6,41,0,0,1,0,0,27,122,0,37,5
"Mthfd1",57,82,103,40,71,37,50,51,1,0,7,8,131,78,124,8,127,35
"Mthfd1l",5,17,60,7,63,14,16,37,0,0,0,0,85,38,1,0,72,8
"Mthfd2",3,9,13,2,6,5,4,37,0,0,0,0,12,12,0,6,33,7
"Mthfd2l",3,5,37,8,13,8,4,15,0,0,0,0,30,8,9,0,5,2
"Mthfr",119,159,202,28,135,118,52,104,0,25,96,19,29,120,127,1,206,31
"Mthfs",12,0,20,0,2,0,4,11,0,0,0,0,0,11,0,7,15,1
"Mthfsd",48,121,81,31,105,92,35,115,1,0,0,0,55,130,146,3,143,41
"Mthfsl",9,5,3,9,1,9,1,4,0,0,5,0,0,0,15,0,3,9
"Mtif2",54,53,108,47,29,28,22,52,1,0,20,6,64,55,106,5,94,17
"Mtif3",19,36,11,10,27,18,13,22,0,1,0,0,21,24,41,0,60,12
"Mtl5",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"Mtm1",3,13,16,1,20,19,7,4,0,0,1,0,12,9,9,0,11,13
"Mtmr1",122,139,236,49,129,143,118,198,9,17,43,15,157,152,294,17,228,54
"Mtmr10",15,49,16,20,43,30,7,35,2,0,0,0,48,21,31,0,36,9
"Mtmr11",3,13,35,0,18,8,1,23,0,0,0,0,1,20,14,0,13,6
"Mtmr12",85,277,61,106,144,215,88,180,21,9,44,14,39,232,267,19,220,72
"Mtmr14",36,15,60,15,38,39,14,40,3,0,12,1,13,26,33,0,56,7
"Mtmr2",77,83,88,41,59,42,50,135,2,7,10,0,52,103,41,11,148,42
"Mtmr3",170,211,289,156,223,288,139,211,18,13,19,30,257,219,218,45,319,100
"Mtmr4",120,146,202,63,108,142,119,261,4,0,18,2,109,406,294,29,510,55
"Mtmr6",159,228,272,171,205,155,103,363,1,4,175,5,384,327,267,33,556,85
"Mtmr7",97,48,207,38,98,52,65,116,2,9,18,0,66,156,101,27,188,34
"Mtmr9",52,86,165,79,76,70,48,113,14,0,43,11,104,159,58,5,208,50
"Mtnr1a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mtnr1b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mto1",59,47,27,17,47,21,22,16,1,0,0,0,17,17,110,0,62,21
"Mtor",248,276,319,102,382,167,174,225,14,37,170,1,315,355,107,34,510,56
"Mtpap",16,45,62,3,62,50,20,34,1,0,13,0,18,21,18,0,52,26
"Mtpn",513,490,703,389,537,412,319,845,46,35,274,10,490,731,662,124,1043,221
"Mtr",17,42,44,12,12,25,23,25,0,0,0,1,43,25,28,12,26,22
"Mtrf1",10,7,0,6,15,0,3,35,0,0,8,0,0,16,24,0,26,2
"Mtrf1l",4,14,12,0,4,13,2,6,0,0,0,0,11,6,24,0,16,5
"Mtrr",30,49,56,9,20,39,16,10,2,14,0,0,41,50,77,0,21,23
"Mtss1",28,96,65,44,19,9,23,49,1,1,0,0,82,29,24,3,82,11
"Mtss1l",239,229,443,134,269,126,97,325,13,9,59,0,395,285,166,27,529,99
"Mttp",7,10,24,5,7,20,14,9,0,0,9,0,26,10,2,2,33,7
"Mturn",477,248,508,185,496,184,234,275,13,3,153,28,468,250,280,72,402,118
"Mtus1",40,38,17,14,33,14,2,28,0,2,0,0,3,24,21,0,31,6
"Mtus2",119,79,189,56,117,102,91,48,0,17,0,0,51,32,190,15,112,39
"Mtx1",39,84,73,28,86,32,17,56,0,0,0,0,62,95,100,0,84,44
"Mtx2",40,55,52,6,38,18,14,80,2,0,6,0,20,38,49,13,139,57
"Mtx3",89,105,96,32,109,58,59,41,3,3,31,1,119,55,67,2,103,34
"Muc1",0,4,0,0,0,1,11,0,0,0,0,0,0,1,5,0,0,2
"Muc13",0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1
"Muc15",0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0
"Muc16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muc2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Muc20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muc3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muc3a",47,67,61,27,59,30,15,41,1,0,0,0,56,11,80,1,40,12
"Muc4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muc5ac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muc5b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muc6",0,18,0,0,19,14,0,3,0,0,0,0,1,0,0,0,4,1
"Mucl2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mug1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mug2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mul1",55,77,117,52,110,84,42,78,12,2,20,7,64,119,85,1,166,46
"Mum1",75,73,72,33,22,35,25,107,1,0,6,0,21,86,62,1,114,8
"Mum1l1",10,14,5,0,0,4,14,12,0,0,25,0,23,6,23,0,9,1
"Mup1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mup10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mup11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mup12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mup13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mup14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mup15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mup16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mup17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mup18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mup19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mup2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mup20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mup21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mup3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mup4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mup5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mup6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mup7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mup8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mup9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Murc",2,13,0,0,0,0,7,12,0,0,0,0,0,1,0,0,2,1
"Mus81",44,75,70,15,23,52,39,74,0,0,0,0,36,33,38,0,38,28
"Musk",0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,2,0
"Mustn1",0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0
"Mut",32,30,21,31,42,27,19,40,1,1,3,0,50,51,71,2,67,21
"Mutyh",0,0,3,4,0,9,4,0,0,0,1,0,1,0,13,0,4,3
"Mvb12a",28,36,33,7,21,13,11,29,0,0,0,1,3,37,24,1,55,17
"Mvb12b",195,236,260,91,198,218,129,138,7,7,38,22,150,273,206,18,311,86
"Mvd",25,37,24,41,22,27,16,43,1,0,0,0,14,35,11,0,93,9
"Mvk",14,40,24,4,47,30,15,37,0,4,0,0,34,21,30,0,35,17
"Mvp",8,29,28,7,22,2,0,12,0,0,17,0,37,6,15,0,8,21
"Mx1",11,1,16,6,4,14,5,1,0,0,0,0,7,3,10,0,3,1
"Mx2",0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Mxd1",29,90,101,32,71,40,49,43,2,2,22,0,53,45,78,9,67,20
"Mxd3",0,3,9,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0
"Mxd4",131,209,125,102,201,253,48,63,6,9,2,7,161,134,178,35,132,80
"Mxi1",107,140,162,10,88,80,56,60,5,12,10,20,92,43,211,5,53,38
"Mxra7",16,28,7,3,7,14,2,29,0,0,39,0,0,43,18,11,42,6
"Mxra8",1,6,38,0,13,5,5,0,0,0,0,0,1,9,9,0,0,1
"Myadm",78,52,106,95,83,39,86,156,1,0,56,0,112,260,74,18,377,24
"Myadml2",0,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2
"Myb",0,8,0,0,3,0,0,4,6,0,0,0,0,0,0,0,0,1
"Mybbp1a",143,160,152,31,75,140,60,124,6,0,18,20,82,174,230,0,161,25
"Mybl1",0,4,0,0,2,0,1,3,0,0,2,1,1,1,7,0,0,1
"Mybl2",0,12,1,1,0,4,11,0,0,0,0,0,4,4,0,5,0,1
"Mybpc1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mybpc2",3,6,0,0,0,0,0,4,0,0,9,0,0,1,0,0,0,1
"Mybpc3",0,0,0,0,0,3,4,9,0,0,0,0,0,4,0,0,12,0
"Mybph",9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0
"Mybphl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myc",17,46,35,7,17,14,16,16,0,0,0,0,0,16,42,0,28,11
"Mycbp",3,17,8,1,9,11,11,2,0,0,0,0,1,12,19,0,19,1
"Mycbp2",655,1615,1262,531,796,1885,908,622,67,40,156,20,1160,1012,1995,98,1334,496
"Mycbpap",0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,7,0
"Mycl",20,146,15,61,24,70,3,104,7,7,27,1,8,117,168,0,166,36
"Mycn",4,9,9,4,0,2,1,18,3,0,0,0,11,9,21,0,36,13
"Mycs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myct1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Myd88",19,1,15,1,0,2,2,5,0,0,0,0,14,10,0,9,11,1
"Mydgf",42,62,95,33,20,18,30,84,5,0,14,7,60,103,68,7,124,32
"Myef2",107,296,211,74,213,179,96,219,27,28,82,2,211,241,313,47,246,94
"Myeov2",76,72,83,79,78,37,31,95,3,8,51,2,42,98,87,0,166,43
"Myf5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myf6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myg1",27,47,76,11,20,47,22,74,0,0,23,0,70,87,83,1,63,49
"Myh1",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0
"Myh10",441,403,774,218,615,417,411,420,45,34,100,25,670,545,501,92,688,144
"Myh11",4,0,0,0,1,0,0,17,0,0,0,0,0,2,0,0,0,2
"Myh13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myh14",50,50,52,35,56,37,12,115,0,0,0,22,58,85,91,1,87,15
"Myh15",0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myh2",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"Myh3",2,0,0,0,0,6,0,1,0,0,0,0,0,8,0,0,1,0
"Myh4",0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,2
"Myh6",4,8,18,1,0,5,0,0,1,0,0,0,1,0,1,0,0,2
"Myh7",22,1,27,1,16,0,4,0,0,0,0,0,25,2,0,0,4,1
"Myh7b",7,5,4,16,4,0,4,18,0,0,0,0,1,15,27,0,40,0
"Myh8",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myh9",405,460,524,132,450,302,231,421,4,21,81,133,274,432,307,4,555,147
"Myl1",0,5,5,0,0,3,0,0,0,0,0,0,0,0,0,8,1,1
"Myl10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myl12a",31,36,59,2,45,28,5,38,0,5,0,1,25,30,85,7,50,6
"Myl12b",329,284,331,220,296,176,131,453,12,43,200,19,178,557,384,52,593,105
"Myl2",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myl3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myl4",0,13,3,0,4,1,8,7,0,0,0,0,0,0,0,0,6,4
"Myl6",246,352,351,157,202,139,100,308,10,6,262,4,160,353,347,37,591,131
"Myl6b",17,9,10,17,14,5,1,12,0,0,1,0,4,36,29,16,18,9
"Myl7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myl9",2,1,0,0,2,0,0,8,0,0,0,0,0,1,3,0,18,3
"Mylip",54,23,65,8,66,26,14,26,0,3,1,0,64,13,90,0,28,15
"Mylk",9,0,5,30,7,4,28,70,0,0,29,0,8,87,14,0,85,9
"Mylk2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mylk3",1,75,0,0,0,91,1,0,8,0,0,0,1,0,26,0,0,7
"Mylk4",0,0,22,3,12,11,1,3,0,0,2,0,12,14,0,1,1,3
"Mylpf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mynn",12,28,50,12,20,26,19,31,0,0,0,0,5,15,36,10,28,33
"Myo10",92,38,79,16,110,18,37,101,0,7,0,1,78,63,68,19,123,29
"Myo15",0,0,0,0,0,0,2,10,0,0,0,0,0,24,1,0,16,2
"Myo15b",0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0
"Myo16",38,26,62,22,46,0,10,64,4,0,1,1,70,116,3,0,104,17
"Myo18a",316,429,389,180,450,367,284,460,12,55,90,4,439,439,303,52,782,130
"Myo18b",9,1,0,0,0,2,2,0,1,0,1,1,0,4,2,0,11,1
"Myo19",13,27,22,20,10,20,2,23,0,0,0,1,21,40,96,0,36,3
"Myo1a",0,2,0,0,8,14,1,0,0,0,0,0,6,4,4,0,2,0
"Myo1b",9,25,0,14,34,15,3,15,0,0,0,0,0,14,0,0,44,5
"Myo1c",36,31,71,3,19,3,2,43,0,1,20,0,43,57,1,1,67,11
"Myo1d",19,19,15,0,10,7,9,16,2,0,0,0,10,35,1,0,47,11
"Myo1e",16,5,15,2,17,13,6,0,1,0,0,0,0,13,10,13,26,11
"Myo1f",5,5,7,0,10,5,0,0,0,0,0,0,0,0,0,0,7,4
"Myo1g",0,2,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1
"Myo1h",5,4,5,0,31,4,1,0,0,0,0,0,0,0,0,0,0,0
"Myo3a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myo3b",2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myo5a",495,495,693,421,651,523,508,968,30,16,209,55,817,873,528,104,1394,218
"Myo5b",71,157,104,147,133,101,88,606,3,0,367,1,75,626,312,27,951,68
"Myo5c",0,0,12,0,0,3,0,0,0,0,1,0,6,2,18,7,6,0
"Myo6",141,109,232,64,185,122,55,153,3,8,42,1,198,168,42,10,214,33
"Myo7a",39,41,37,15,62,33,17,34,0,0,0,1,72,35,18,0,38,11
"Myo7b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myo9a",160,192,368,155,258,232,299,190,8,16,43,36,415,333,282,107,397,70
"Myo9b",177,258,343,73,140,218,115,140,6,11,35,2,152,199,335,24,218,59
"Myoc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Myocd",0,0,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myod1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
