"","142C_CA1","142C_DG","143C_CA1","143C_DG","143C-CA1-1","143D-CA1-3","143D-DG-3","144C-CA1-2","144C-CA3-2","144C-DG-2","144D-CA3-2","144D-DG-2","146C-CA1-4","146C-DG-4","146D-CA1-3","146D-CA3-3","146D-DG-3","147C-CA1-3","147C-CA3-3","147C-DG-3","147D-CA3-1","147D-DG-1"
"Cyp27a1",16,1,0,1,0,0,0,0,19,1,8,0,0,0,0,19,0,5,11,7,8,0
"Cyp27b1",2,3,6,0,5,2,5,0,0,2,0,6,0,0,0,0,0,2,0,10,0,0
"Cyp2a12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2a22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2a4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2a5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2ab1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2b10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2b13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2b19",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2b23",0,0,0,11,0,0,0,0,0,1,0,0,11,0,0,0,0,5,2,0,0,0
"Cyp2b9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c29",0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0
"Cyp2c37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Cyp2c54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c68",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2d10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2d11",11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cyp2d12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2d22",95,4,131,54,35,8,4,25,32,30,53,51,30,12,1,28,0,84,295,78,122,133
"Cyp2d26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cyp2d34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2d37-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2d40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2d9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2e1",7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2
"Cyp2f2",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2g1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2j11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2j12",0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,10,0,0,4,0,4,2
"Cyp2j13",3,3,6,8,0,0,0,0,0,0,0,2,2,0,0,1,0,0,4,2,1,6
"Cyp2j5",1,13,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,6,7,9,4,0
"Cyp2j6",28,5,83,36,21,3,3,15,16,5,45,24,20,4,1,26,0,56,169,24,44,49
"Cyp2j7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2j8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"Cyp2j9",35,13,32,11,18,2,0,38,13,8,38,27,24,0,10,36,0,59,189,26,36,35
"Cyp2r1",0,1,5,0,2,0,0,2,0,1,1,2,0,0,0,0,0,0,0,3,0,4
"Cyp2s1",4,1,19,2,5,1,1,7,1,1,1,1,2,0,0,4,0,6,10,1,3,8
"Cyp2t4",20,8,3,0,1,0,0,4,0,6,2,8,6,0,0,4,0,4,10,7,1,10
"Cyp2u1",55,26,73,28,15,4,6,25,9,10,10,40,29,4,1,22,0,28,48,33,31,84
"Cyp2w1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp39a1",0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Cyp3a11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp3a13",11,3,2,0,0,0,2,3,1,0,2,0,0,0,0,0,0,1,0,11,6,30
"Cyp3a16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp3a25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp3a41a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp3a41b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp3a44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp3a57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp3a59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp46a1",931,579,1286,826,465,320,307,692,153,386,240,950,214,108,58,343,5,608,515,717,494,2103
"Cyp4a10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4a12a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4a12b",0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4a14",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4a29",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Cyp4a30b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4a31",6,1,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,3,0,1
"Cyp4a32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4b1",2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cyp4f13",4,0,8,8,1,0,3,9,1,2,3,5,0,1,0,1,1,6,13,5,4,21
"Cyp4f14",14,0,12,0,2,0,0,10,7,4,4,4,1,0,0,10,0,4,18,6,22,11
"Cyp4f15",8,2,10,16,12,5,1,10,6,2,18,8,9,0,0,2,0,8,56,16,28,28
"Cyp4f16",4,4,2,11,0,1,4,4,1,3,3,7,3,0,0,3,0,1,4,10,6,14
"Cyp4f17",22,0,6,0,4,0,3,3,17,2,6,2,5,0,0,25,0,1,0,2,2,0
"Cyp4f18",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4
"Cyp4f37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4f39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4f40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4v3",0,3,33,0,11,0,3,18,15,0,10,4,0,0,0,56,0,18,76,9,18,19
"Cyp4x1",98,84,104,60,30,22,22,61,14,29,18,58,39,11,1,67,0,48,71,74,61,192
"Cyp51",278,471,340,239,94,67,59,179,86,190,138,180,11,68,25,85,4,135,400,440,422,484
"Cyp7a1",0,0,10,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
"Cyp7b1",26,277,116,167,33,22,73,34,20,106,32,285,44,31,0,67,0,45,139,257,129,625
"Cyp8b1",0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cypt1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cypt12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cypt14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cypt15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cypt2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cypt3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cypt4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyr61",158,107,295,271,105,35,52,108,46,64,34,38,34,58,14,98,0,135,455,168,26,70
"Cys1",12,6,6,2,6,4,4,8,1,8,2,17,6,4,1,1,0,7,14,20,10,45
"Cysltr1",5,8,1,0,1,3,0,1,0,1,6,4,0,0,0,2,0,2,4,9,11,12
"Cysltr2",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,1,2,0,0,0
"Cysrt1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cystm1",22,29,19,10,6,3,6,14,5,17,17,22,4,3,2,10,0,12,35,26,18,76
"Cyth1",80,110,104,104,41,29,53,56,25,63,40,164,12,15,3,56,3,52,86,163,79,410
"Cyth2",27,32,49,35,21,10,13,23,7,26,17,44,10,4,3,18,0,22,33,36,37,122
"Cyth3",44,32,61,26,19,10,16,30,14,22,21,42,10,2,6,29,0,26,60,52,29,121
"Cyth4",70,47,35,60,25,5,34,33,1,60,33,178,31,9,0,12,0,36,44,139,46,313
"Cytip",1,4,16,1,0,1,0,0,0,3,2,1,1,0,1,0,0,4,10,0,0,2
"Cytl1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyyr1",30,14,24,28,5,1,0,6,10,5,5,12,9,0,0,18,0,10,22,26,14,27
"D030025P21Rik",10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D030056L22Rik",66,29,80,45,25,8,9,20,12,23,19,48,2,0,6,26,2,42,43,34,46,103
"D10Jhu81e",260,84,171,101,129,48,50,174,103,80,194,193,76,10,27,159,7,150,419,150,312,460
"D10Wsu102e",18811,15088,16762,10038,2357,2232,2781,4914,1060,3590,2667,9323,3204,1154,872,4939,169,5142,8566,13300,6592,26985
"D11Wsu47e",9,8,11,22,4,1,1,3,2,4,3,15,1,1,0,5,0,5,8,12,5,43
"D130040H23Rik",13,8,22,25,1,4,2,9,0,10,2,19,2,2,0,2,0,14,24,20,9,33
"D130043K22Rik",139,107,238,164,49,22,38,60,19,56,38,166,42,14,0,72,0,82,80,138,77,392
"D130052B06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"D13Ertd608e",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D16Ertd472e",1,17,11,18,2,0,3,2,3,10,1,10,0,2,0,5,0,2,11,19,4,60
"D17H6S53E",71,33,117,143,26,24,24,28,16,44,70,82,34,8,3,77,0,43,72,52,89,217
"D17Wsu92e",316,260,570,232,176,87,74,234,119,150,306,364,141,37,24,240,12,221,498,315,503,822
"D1Ertd622e",57,40,75,30,21,4,15,38,5,21,19,52,31,3,2,39,1,32,77,58,53,146
"D1Pas1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D230025D16Rik",55,31,74,46,21,7,19,33,6,17,29,56,8,3,0,28,0,32,37,40,32,127
"D2hgdh",6,16,17,5,8,2,3,14,4,13,8,13,0,1,0,3,1,11,20,16,13,47
"D2Wsu81e",121,73,142,112,43,34,26,64,53,54,65,110,24,1,1,53,6,49,64,108,128,199
"D330020A13Rik",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"D330045A20Rik",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2
"D3Ertd254e",15,17,75,9,20,8,9,30,4,23,19,38,10,1,0,33,1,17,53,31,17,64
"D3Ertd751e",0,1,3,1,2,0,0,3,1,1,2,1,1,0,0,3,0,2,11,1,4,4
"D430019H16Rik",1246,1010,2013,668,478,165,140,580,78,518,204,994,290,65,127,250,23,561,572,1127,467,2452
"D430041D05Rik",61,240,128,152,25,10,42,58,32,88,88,232,41,15,6,148,7,41,224,127,160,416
"D430042O09Rik",61,65,46,70,17,11,19,21,5,21,14,55,14,4,0,20,0,20,16,64,46,126
"D5Ertd577e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D5Ertd579e",227,266,464,166,104,31,40,138,43,96,72,257,61,23,6,161,5,159,224,220,217,633
"D630003M21Rik",11,9,13,14,1,0,0,3,0,1,5,2,9,0,0,1,0,2,8,5,12,12
"D630023F18Rik",0,0,5,1,4,0,3,2,4,1,10,5,3,0,1,11,0,2,16,2,14,7
"D630036H23Rik",0,1,0,12,0,0,0,0,0,8,7,0,0,0,0,10,0,0,0,1,0,20
"D630039A03Rik",0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,11,0
"D630044L22Rik",11,1,7,39,4,5,4,13,0,9,8,38,3,3,1,0,0,7,31,17,0,104
"D630045J12Rik",268,262,591,237,132,37,34,142,25,126,98,214,79,12,19,133,5,160,211,241,194,601
"D6Ertd527e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"D6Wsu163e",192,92,153,144,45,60,28,72,56,53,60,92,106,28,152,196,54,68,197,76,188,371
"D730001G18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D730048I06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D7Ertd443e",2,2,4,0,0,1,1,1,0,1,3,1,0,0,0,2,1,1,4,1,9,6
"D830013O20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D830030K20Rik",0,0,10,0,3,0,0,3,3,0,2,0,1,0,1,19,0,4,0,0,13,0
"D830039M14Rik",0,0,1,0,2,0,0,7,8,0,7,0,0,0,0,13,0,0,11,5,0,10
"D830044I16Rik",2,8,7,9,0,0,0,3,1,2,0,4,3,0,0,0,0,1,4,3,2,24
"D8Ertd738e",81,28,140,89,67,33,36,110,59,69,102,149,35,12,16,67,3,62,229,107,254,267
"D8Ertd82e",90,33,171,86,42,6,10,44,62,23,69,21,9,5,3,77,0,50,241,37,129,42
"D930007J09Rik",2,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
"D930015E06Rik",81,71,104,64,25,28,16,26,4,22,17,53,28,5,9,23,1,42,48,50,24,160
"D930020B18Rik",0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
"D930048N14Rik",30,3,17,0,7,7,0,5,2,2,7,1,4,0,0,21,0,7,3,4,7,0
"Daam1",345,390,425,357,78,22,59,138,70,154,186,406,52,35,42,249,1,152,500,429,238,888
"Daam2",388,48,435,352,71,65,39,194,167,77,141,142,89,22,1,183,0,219,1160,247,339,382
"Dab1",149,137,239,111,64,34,26,92,14,71,32,155,41,13,19,51,5,90,85,136,49,424
"Dab2",10,1,3,0,0,0,0,2,0,1,0,1,0,0,0,2,0,1,8,2,1,2
"Dab2ip",118,14,178,21,51,19,5,73,6,10,21,21,25,1,4,27,1,59,54,21,42,67
"Dach1",17,0,54,1,10,4,0,26,2,4,1,6,4,0,0,7,0,12,0,6,6,6
"Dach2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4
"Dact1",0,104,9,72,4,0,16,8,1,66,1,52,0,21,0,12,3,8,8,120,4,129
"Dact2",119,70,189,70,88,3,32,87,22,47,72,141,42,6,16,36,3,75,117,67,161,288
"Dact3",945,207,1017,273,511,254,101,607,380,196,615,559,232,53,107,475,31,595,1445,525,1443,1407
"Dad1",75,74,145,30,61,21,24,64,48,40,95,104,22,9,10,81,3,71,141,89,88,246
"Dag1",87,74,131,62,38,14,18,54,10,40,28,82,20,10,4,52,1,56,107,82,56,191
"Dagla",1132,754,1403,674,492,154,186,667,135,412,330,911,262,78,67,424,2,532,604,747,770,2578
"Daglb",176,191,246,155,80,44,51,95,37,149,106,289,56,26,38,114,0,109,258,268,87,1033
"Dalrd3",119,56,83,51,40,36,20,54,18,35,50,89,15,13,5,54,0,69,85,71,51,198
"Dand5",30,2,32,25,41,5,10,32,13,8,13,19,1,4,0,13,0,30,14,21,38,63
"Dao",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"Dap",0,3,3,6,2,1,1,2,1,1,2,2,3,2,0,2,0,0,6,3,10,6
"Dap3",26,20,51,20,16,9,8,26,10,14,18,41,8,3,5,16,1,21,40,31,38,74
"Dapk1",901,817,1043,615,344,140,188,354,10,344,76,742,178,100,68,122,4,404,123,804,133,2166
"Dapk2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Dapk3",74,63,100,70,40,34,29,65,28,42,41,100,20,14,7,50,1,52,52,84,83,272
"Dapl1",1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Dapp1",12,6,20,2,3,3,4,3,3,6,5,5,1,0,0,14,0,12,52,11,7,9
"Dars",144,74,148,80,48,14,24,56,28,41,58,124,32,6,20,53,2,75,91,92,80,306
"Dars2",136,81,168,23,44,11,14,52,15,41,36,74,21,6,0,38,1,39,62,58,41,107
"Daw1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daxx",12,17,25,20,7,4,4,5,6,10,8,17,4,2,3,8,0,13,12,15,18,56
"Dazap1",51,47,57,66,22,8,21,40,14,34,33,65,19,3,0,23,1,33,44,66,42,179
"Dazap2",275,196,426,232,182,62,81,298,155,140,174,305,68,51,22,263,3,207,487,274,418,827
"Dazl",14,3,28,0,16,0,10,23,0,9,6,14,1,0,0,18,0,19,20,9,8,58
"Dbf4",3,2,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4,0,3,0,2
"Dbh",0,8,0,6,0,0,7,0,0,20,0,22,0,0,0,8,0,1,0,19,0,107
"Dbi",36,11,30,21,23,9,4,13,18,12,28,24,10,4,1,19,0,17,69,24,52,36
"Dbil5",0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,2,3,0,0,15
"Dbn1",550,553,735,439,256,147,179,339,77,308,184,734,142,78,35,307,8,316,250,594,318,1890
"Dbndd1",10,19,18,20,8,1,4,8,7,10,16,15,5,3,3,18,0,20,16,24,71,76
"Dbndd2",56,31,71,60,36,24,14,47,18,25,42,61,19,3,4,36,0,49,111,58,86,166
"Dbnl",105,53,120,49,39,19,22,58,20,45,56,103,27,6,15,79,0,57,111,100,93,198
"Dbp",101,27,151,37,79,61,37,73,8,33,27,117,45,11,10,22,1,97,89,79,78,184
"Dbpht2",227,1484,619,757,161,54,85,242,14,604,5,303,125,166,35,13,7,151,53,763,31,845
"Dbr1",4,9,13,14,4,2,1,3,1,4,1,9,2,1,0,5,0,5,2,5,6,27
"Dbt",16,9,30,9,16,2,6,15,7,7,6,27,13,4,0,24,0,14,46,34,17,85
"Dbx1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dbx2",72,56,39,18,14,15,3,33,26,13,13,38,5,0,0,35,0,33,35,31,118,46
"Dcaf10",64,107,127,46,28,12,13,42,10,40,18,57,36,6,0,31,0,41,79,87,44,179
"Dcaf11",22,14,33,14,14,8,7,25,9,8,14,23,11,2,1,15,0,20,42,26,27,67
"Dcaf12",266,112,241,158,116,8,61,155,46,74,156,249,42,16,4,199,7,117,228,162,260,547
"Dcaf12l1",58,58,162,44,36,9,19,68,31,46,50,104,21,3,10,91,0,66,126,46,104,242
"Dcaf12l2",27,8,11,2,0,0,0,2,3,3,0,1,1,4,2,24,1,2,40,9,22,3
"Dcaf13",44,119,115,107,39,23,36,47,8,56,52,97,20,7,2,59,0,67,33,100,41,336
"Dcaf15",10,44,48,37,19,13,16,19,6,18,14,37,12,7,7,7,0,22,29,44,24,164
"Dcaf17",11,13,15,7,5,5,3,3,1,3,3,8,6,1,0,7,0,5,11,11,16,28
"Dcaf4",7,101,52,103,28,17,19,41,18,40,23,98,0,12,0,52,1,26,88,77,91,295
"Dcaf5",392,415,709,287,232,79,124,303,90,305,236,478,145,20,4,220,12,288,585,442,449,1275
"Dcaf6",180,122,299,166,79,60,37,128,26,91,56,178,50,25,6,58,1,110,147,166,145,473
"Dcaf7",1083,1186,2310,927,489,281,237,874,263,778,423,1456,403,99,112,589,17,843,984,1180,855,3851
"Dcaf8",96,70,147,95,46,18,23,57,21,58,43,124,20,9,2,60,3,59,96,99,86,350
"Dcakd",115,86,216,74,66,42,59,72,18,70,57,178,64,17,14,38,4,112,110,146,85,370
"Dcbld1",6,22,60,23,20,10,2,37,6,14,7,34,4,4,0,16,0,24,0,37,6,107
"Dcbld2",88,132,147,56,43,5,18,78,11,65,16,86,33,8,9,50,1,64,281,140,62,235
"Dcc",58,16,98,0,12,6,9,20,11,13,9,16,16,2,1,26,1,40,60,12,54,156
"Dcdc2a",55,4,93,3,12,10,0,25,5,3,8,5,42,1,6,3,2,39,8,3,13,7
"Dcdc2b",4,6,17,18,4,6,8,4,4,5,4,23,2,1,12,6,0,9,12,14,6,36
"Dcdc2c",10,7,2,11,2,0,1,2,0,3,0,6,1,0,0,0,0,1,1,3,0,19
"Dchs1",32,62,80,81,22,6,26,55,26,22,20,38,13,3,0,47,0,56,134,34,46,131
"Dchs2",39,27,3,2,6,0,0,2,4,18,9,10,1,0,0,27,0,15,96,8,27,12
"Dck",69,37,123,30,41,6,14,37,28,15,51,68,26,4,0,88,1,74,66,42,64,184
"Dclk1",305,485,589,303,148,58,71,236,32,170,63,350,85,40,15,122,5,207,222,323,116,826
"Dclk2",145,81,244,53,66,29,15,91,27,33,50,68,47,12,10,72,2,104,128,83,134,237
"Dclk3",150,133,206,126,53,22,58,90,4,109,2,261,66,26,1,10,11,59,17,214,6,480
"Dclre1a",25,7,34,10,3,2,3,9,2,9,2,11,7,1,0,5,0,7,3,12,3,50
"Dclre1b",15,20,19,6,3,1,3,5,3,4,5,14,5,3,6,6,0,7,14,13,7,33
"Dclre1c",24,44,21,26,7,5,5,15,3,8,4,19,9,6,0,6,0,7,9,32,17,61
"Dcn",17,0,0,0,0,0,0,2,2,1,4,0,0,0,0,0,0,2,10,34,0,0
"Dcp1a",145,130,150,93,39,2,32,59,7,41,37,164,32,10,10,53,0,67,103,117,96,530
"Dcp1b",4,32,32,78,15,4,4,8,2,28,10,60,7,6,0,30,0,16,33,59,6,199
"Dcp2",132,173,376,113,81,33,38,117,37,71,88,246,51,16,7,103,0,113,193,151,145,463
"Dcpp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dcpp2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dcpp3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dcps",19,11,16,9,9,7,7,10,4,12,5,31,6,2,0,8,0,10,8,17,18,42
"Dcst1",4,8,32,1,5,11,0,15,0,8,5,14,10,0,0,0,0,11,4,15,24,49
"Dcst2",13,0,1,0,1,8,2,1,0,4,0,3,0,0,0,0,0,2,0,11,0,0
"Dcstamp",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dct",0,0,0,9,0,0,0,0,0,0,0,2,1,2,0,3,0,0,1,1,0,0
"Dctd",3,1,9,4,1,2,0,2,0,0,1,2,1,1,0,3,0,3,5,0,3,9
"Dctn1",351,307,565,277,150,89,74,248,105,144,163,368,92,36,28,282,12,248,385,290,367,854
"Dctn2",944,551,1298,613,516,272,257,653,365,436,581,964,225,91,84,792,24,626,1215,803,1160,2085
"Dctn3",62,58,129,104,48,38,22,57,23,58,84,114,32,18,6,52,4,48,136,105,108,252
"Dctn4",281,428,647,284,196,98,101,220,117,227,193,376,102,49,32,233,5,248,532,376,425,1212
"Dctn5",74,33,103,45,47,34,22,49,35,40,67,85,11,10,11,66,0,46,105,65,120,245
"Dctn6",35,21,39,13,15,11,6,35,11,11,21,23,8,1,3,22,1,23,22,24,40,86
"Dctpp1",0,6,22,0,12,8,4,1,14,12,13,31,0,0,1,13,0,20,29,3,34,63
"Dcun1d1",15,21,31,14,11,3,4,20,5,7,11,15,8,3,1,17,0,12,31,19,15,58
"Dcun1d2",61,21,49,14,17,10,10,30,8,13,17,32,12,4,6,23,0,28,27,26,23,97
"Dcun1d3",8,31,23,24,6,4,6,16,2,20,3,15,6,4,0,11,1,7,27,24,8,29
"Dcun1d4",88,54,139,42,34,19,11,51,8,24,18,56,31,7,6,29,2,47,52,49,38,189
"Dcun1d5",132,112,137,82,91,61,40,102,30,65,79,126,52,5,22,86,5,116,118,139,96,450
"Dcx",5,43,8,55,4,2,12,6,8,15,10,19,8,5,0,25,0,4,26,29,13,79
"Dcxr",7,14,2,0,2,3,2,2,2,6,10,13,0,0,2,0,2,2,30,15,12,26
"Dda1",84,46,114,39,47,38,21,76,29,37,70,76,22,6,20,31,1,54,77,87,105,253
"Ddah1",165,46,168,173,25,10,14,112,42,26,50,38,38,14,20,36,0,93,247,74,94,207
"Ddah2",2,9,4,5,2,4,3,3,0,2,3,4,0,1,0,2,0,4,15,7,4,7
"Ddb1",815,1119,1482,831,508,155,207,675,217,527,387,1088,179,110,47,509,5,601,1111,896,838,2383
"Ddb2",48,11,17,15,5,6,7,11,6,11,4,17,0,3,0,9,0,15,9,22,29,80
"Ddc",0,0,2,2,0,3,0,2,0,0,0,2,2,0,0,4,0,2,5,1,2,2
"Ddhd1",52,70,75,44,23,10,12,31,13,30,17,43,16,4,4,30,0,33,79,60,41,104
"Ddhd2",103,41,138,48,33,19,13,43,12,26,18,64,18,3,6,39,0,43,45,44,60,179
